id,property_id,month,expected_amount,pulled_at
1,5,2026-04,2815,2026-04-24 18:30:10
10,5,2026-06,4785,2026-06-15 00:08:18
11,5,2026-07,6160,2026-07-31 18:19:42
12,6,2026-07,23825,2026-07-31 18:20:45
13,8,2026-07,13545,2026-07-31 18:19:41
14,7,2026-07,34070,2026-07-31 18:20:29
27,9,2026-07,17712.5,2026-07-31 18:19:39
28,12,2026-07,4390,2026-07-31 18:19:33
29,10,2026-07,5955,2026-07-31 18:19:38
30,11,2026-07,2870,2026-07-31 18:19:31
415,5,2026-08,6235,2026-08-02 12:30:02
416,11,2026-08,2775,2026-08-02 12:28:20
417,10,2026-08,5955,2026-08-02 12:28:51
418,12,2026-08,4390,2026-08-02 12:28:43
419,8,2026-08,13555,2026-08-02 12:30:27
420,9,2026-08,17597.5,2026-08-02 12:29:01
421,6,2026-08,23790,2026-08-02 12:30:42
422,7,2026-08,33945,2026-08-02 12:30:45
