id,property_id,month,sessions,page_views,unique_visitors,bounce_rate,avg_session_duration,top_source
113,5,2026-06,508,663,418,67.3,79,google
114,5,2026-05,387,506,292,65.4,94,google
115,5,2026-04,303,439,225,67.3,96,google
116,5,2026-03,247,555,136,61.1,242,Direct
118,6,2026-06,285,534,180,60,89,Direct
119,6,2026-05,272,390,175,70.2,72,Direct
120,6,2026-04,269,372,161,71,74,Direct
121,6,2026-03,185,349,103,62.7,231,Direct
123,7,2026-06,530,947,344,60.9,139,google
124,7,2026-05,499,665,334,62.9,115,Direct
125,7,2026-04,401,580,297,60.3,95,Direct
126,7,2026-03,305,575,201,55.4,201,Direct
337,5,2026-07,592,697,502,67.6,59,google
338,6,2026-07,274,363,179,67.9,94,Direct
339,7,2026-07,476,585,336,69.1,71,Direct
340,9,2026-07,499,630,325,70.5,82,Direct
360,5,2026-08,26,31,25,100,83,(data not available)
361,6,2026-08,17,24,10,100,191,(not set)
362,7,2026-08,16,18,15,100,140,Direct
363,9,2026-08,12,12,12,100,44,Direct
