property_id,property,month,revenue_collected,expected_revenue,rented_units,total_units,occupancy_pct,move_ins,move_outs,net_moves,ga_sessions,calls
10,SandHills South Hutchinson,2025-01,,,68,79,86.1,,,,,
10,SandHills South Hutchinson,2025-02,,,70,79,88.6,,,,,
10,SandHills South Hutchinson,2025-03,,,67,79,84.8,,,,,
10,SandHills South Hutchinson,2025-04,,,68,79,86.1,,,,,
10,SandHills South Hutchinson,2025-05,,,71,79,89.9,,,,,
10,SandHills South Hutchinson,2025-06,,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2025-07,5409.43,,72,79,91.1,,,,,
10,SandHills South Hutchinson,2025-08,4691.14,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2025-09,4032.2,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2025-10,5080.26,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2025-11,4693.59,,73,79,92.4,,,,,
10,SandHills South Hutchinson,2025-12,4666.07,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2026-01,4524.33,,76,79,96.2,,,,,
10,SandHills South Hutchinson,2026-02,5409.25,,73,79,92.4,,,,,
10,SandHills South Hutchinson,2026-03,4769.25,,74,79,93.7,,,,,
10,SandHills South Hutchinson,2026-04,5045.0,,73,79,92.4,,,,,
10,SandHills South Hutchinson,2026-05,4467.37,,73,79,92.4,,,,,
10,SandHills South Hutchinson,2026-06,4414.92,,72,79,91.1,,,,,
10,SandHills South Hutchinson,2026-07,5933.74,5955,71,79,89.9,2,3,-1,,12
10,SandHills South Hutchinson,2026-08,2753.5,5955,71,79,89.9,,,,,
11,SandHills Buhler,2025-01,,,30,34,88.2,,,,,
11,SandHills Buhler,2025-02,,,34,34,100.0,,,,,
11,SandHills Buhler,2025-03,,,34,34,100.0,,,,,
11,SandHills Buhler,2025-04,,,34,34,100.0,,,,,
11,SandHills Buhler,2025-05,,,34,34,100.0,,,,,
11,SandHills Buhler,2025-06,,,34,34,100.0,,,,,
11,SandHills Buhler,2025-07,2151.5,,34,34,100.0,,,,,
11,SandHills Buhler,2025-08,2837.36,,34,34,100.0,,,,,
11,SandHills Buhler,2025-09,2124.12,,34,34,100.0,,,,,
11,SandHills Buhler,2025-10,2384.12,,34,34,100.0,,,,,
11,SandHills Buhler,2025-11,2265.12,,34,34,100.0,,,,,
11,SandHills Buhler,2025-12,2186.62,,34,34,100.0,,,,,
11,SandHills Buhler,2026-01,2371.62,,33,34,97.1,,,,,
11,SandHills Buhler,2026-02,2354.12,,33,34,97.1,,,,,
11,SandHills Buhler,2026-03,2473.47,,34,34,100.0,,,,,
11,SandHills Buhler,2026-04,2321.87,,34,34,100.0,,,,,
11,SandHills Buhler,2026-05,2084.0,,32,34,94.1,,,,,
11,SandHills Buhler,2026-06,2339.24,,32,34,94.1,,,,,
11,SandHills Buhler,2026-07,2400.69,2870,32,34,94.1,4,2,2,,
11,SandHills Buhler,2026-08,2129.62,2775,31,34,91.2,,,,,
12,SandHills Haven,2025-01,,,51,52,98.1,,,,,
12,SandHills Haven,2025-02,,,51,52,98.1,,,,,
12,SandHills Haven,2025-03,,,51,52,98.1,,,,,
12,SandHills Haven,2025-04,,,51,52,98.1,,,,,
12,SandHills Haven,2025-05,,,50,52,96.2,,,,,
12,SandHills Haven,2025-06,,,51,52,98.1,,,,,
12,SandHills Haven,2025-07,2963.59,,52,52,100.0,,,,,
12,SandHills Haven,2025-08,3448.44,,52,52,100.0,,,,,
12,SandHills Haven,2025-09,3162.62,,50,52,96.2,,,,,
12,SandHills Haven,2025-10,3848.57,,52,52,100.0,,,,,
12,SandHills Haven,2025-11,3145.12,,52,52,100.0,,,,,
12,SandHills Haven,2025-12,3347.74,,52,52,100.0,,,,,
12,SandHills Haven,2026-01,3072.5,,50,52,96.2,,,,,
12,SandHills Haven,2026-02,2900.89,,49,52,94.2,,,,,
12,SandHills Haven,2026-03,3289.93,,50,52,96.2,,,,,
12,SandHills Haven,2026-04,3256.17,,50,52,96.2,,,,,
12,SandHills Haven,2026-05,3306.77,,49,52,94.2,,,,,
12,SandHills Haven,2026-06,3569.16,,50,52,96.2,,,,,
12,SandHills Haven,2026-07,3005.12,4390,50,52,96.2,,,,,
12,SandHills Haven,2026-08,2260.12,4390,50,52,96.2,,,,,
5,Bourbon County Storage,,0.0,,,,,,,,,
5,Bourbon County Storage,2025-07,,,0,87,0.0,,,,,
5,Bourbon County Storage,2025-08,,,0,87,0.0,,,,,
5,Bourbon County Storage,2025-09,,,0,87,0.0,,,,,
5,Bourbon County Storage,2025-10,655.0,,5,92,5.4,,,,,
5,Bourbon County Storage,2025-11,266.4,,7,81,8.6,,,,,
5,Bourbon County Storage,2025-12,885.94,,9,82,11.0,,,,,
5,Bourbon County Storage,2026-01,844.0,,10,82,12.2,,,,,1
5,Bourbon County Storage,2026-02,1108.39,,12,82,14.6,,,,,48
5,Bourbon County Storage,2026-03,2358.09,,29,82,35.4,,,,247,86
5,Bourbon County Storage,2026-04,3186.66,2815,37,81,45.7,5,1,4,303,60
5,Bourbon County Storage,2026-05,4066.29,,49,77,63.6,,,,387,91
5,Bourbon County Storage,2026-06,7540.19,4785,57,72,79.2,4,2,2,508,101
5,Bourbon County Storage,2026-07,6109.27,6160,66,72,91.7,17,8,9,592,102
5,Bourbon County Storage,2026-08,2616.5,6235,67,72,93.1,1,0,1,26,4
6,Labette County Storage,2025-01,,,197,247,79.8,,,,,
6,Labette County Storage,2025-02,,,203,246,82.5,,,,,
6,Labette County Storage,2025-03,,,206,244,84.4,,,,,
6,Labette County Storage,2025-04,,,213,243,87.7,,,,,
6,Labette County Storage,2025-05,,,215,243,88.5,,,,,
6,Labette County Storage,2025-06,,,226,242,93.4,,,,,
6,Labette County Storage,2025-07,20790.27,,230,241,95.4,,,,,
6,Labette County Storage,2025-08,20790.75,,227,240,94.6,,,,,
6,Labette County Storage,2025-09,19375.69,,231,240,96.2,,,,,
6,Labette County Storage,2025-10,20271.73,,233,240,97.1,,,,,
6,Labette County Storage,2025-11,20389.5,,230,240,95.8,,,,,
6,Labette County Storage,2025-12,23252.89,,232,239,97.1,,,,,
6,Labette County Storage,2026-01,22941.24,,233,239,97.5,,,,,
6,Labette County Storage,2026-02,20481.02,,231,239,96.7,,,,,
6,Labette County Storage,2026-03,23270.28,,234,239,97.9,,,,185,
6,Labette County Storage,2026-04,22528.6,,232,239,97.1,,,,269,
6,Labette County Storage,2026-05,24101.75,,238,239,99.6,,,,272,
6,Labette County Storage,2026-06,24786.62,,233,239,97.5,,,,285,
6,Labette County Storage,2026-07,26529.95,23825,233,238,97.9,17,16,1,274,100
6,Labette County Storage,2026-08,12419.0,23790,232,238,97.5,2,3,-1,17,25
7,Reno County Storage,2025-09,,,0,142,0.0,,,,,
7,Reno County Storage,2025-10,,,0,142,0.0,,,,,
7,Reno County Storage,2025-11,,,0,256,0.0,,,,,
7,Reno County Storage,2025-12,8731.08,,299,327,91.4,,,,,
7,Reno County Storage,2026-01,31926.14,,297,333,89.2,,,,,
7,Reno County Storage,2026-02,36441.31,,303,331,91.5,,,,,
7,Reno County Storage,2026-03,33776.18,,307,329,93.3,,,,305,
7,Reno County Storage,2026-04,35961.26,,309,329,93.9,,,,401,
7,Reno County Storage,2026-05,35921.56,,310,329,94.2,,,,499,
7,Reno County Storage,2026-06,37350.76,,307,329,93.3,,,,530,
7,Reno County Storage,2026-07,38026.91,34070,299,328,91.2,4,11,-7,476,159
7,Reno County Storage,2026-08,22510.0,33945,299,328,91.2,,,,16,24
8,Reno County Storage South,2025-08,,,0,146,0.0,,,,,
8,Reno County Storage South,2025-09,,,0,146,0.0,,,,,
8,Reno County Storage South,2025-10,,,0,146,0.0,,,,,
8,Reno County Storage South,2025-11,,,0,146,0.0,,,,,
8,Reno County Storage South,2025-12,2098.42,,119,147,81.0,,,,,
8,Reno County Storage South,2026-01,14341.61,,119,147,81.0,,,,,
8,Reno County Storage South,2026-02,14101.79,,121,150,80.7,,,,,
8,Reno County Storage South,2026-03,14623.78,,118,147,80.3,,,,,
8,Reno County Storage South,2026-04,14425.37,,117,147,79.6,,,,,
8,Reno County Storage South,2026-05,13687.67,,121,147,82.3,,,,,
8,Reno County Storage South,2026-06,14816.5,,132,147,89.8,,,,,
8,Reno County Storage South,2026-07,13813.18,13545,136,147,92.5,10,5,5,,
8,Reno County Storage South,2026-08,7363.47,13555,137,147,93.2,1,0,1,,
9,SandHills Storage - Plum St,2025-01,,,133,139,95.7,,,,,
9,SandHills Storage - Plum St,2025-02,,,134,139,96.4,,,,,
9,SandHills Storage - Plum St,2025-03,,,135,139,97.1,,,,,
9,SandHills Storage - Plum St,2025-04,,,133,139,95.7,,,,,
9,SandHills Storage - Plum St,2025-05,,,131,139,94.2,,,,,
9,SandHills Storage - Plum St,2025-06,,,133,139,95.7,,,,,
9,SandHills Storage - Plum St,2025-07,10456.59,,132,139,95.0,,,,,
9,SandHills Storage - Plum St,2025-08,12537.62,,131,139,94.2,,,,,
9,SandHills Storage - Plum St,2025-09,11565.62,,131,139,94.2,,,,,
9,SandHills Storage - Plum St,2025-10,8567.75,,129,139,92.8,,,,,
9,SandHills Storage - Plum St,2025-11,13016.12,,130,139,93.5,,,,,
9,SandHills Storage - Plum St,2025-12,10174.12,,131,139,94.2,,,,,
9,SandHills Storage - Plum St,2026-01,10383.62,,131,139,94.2,,,,,
9,SandHills Storage - Plum St,2026-02,11677.81,,132,139,95.0,,,,,
9,SandHills Storage - Plum St,2026-03,10412.84,,133,139,95.7,,,,,
9,SandHills Storage - Plum St,2026-04,11995.24,,133,139,95.7,,,,,
9,SandHills Storage - Plum St,2026-05,10937.99,,132,138,95.7,,,,,
9,SandHills Storage - Plum St,2026-06,13698.39,,132,138,95.7,0,1,-1,,
9,SandHills Storage - Plum St,2026-07,15769.63,17712.5,135,139,97.1,7,2,5,499,144
9,SandHills Storage - Plum St,2026-08,9631.5,17597.5,134,139,96.4,,,,12,14
