id,property_id,month,total_units,rented_units,customer_rentals,manager_rentals
593,5,2025-07,87,0,0,0
594,5,2025-08,87,0,0,0
595,5,2025-09,87,0,0,0
596,5,2025-10,92,5,0,0
597,5,2025-11,81,7,0,0
598,5,2025-12,82,9,0,0
599,6,2025-01,247,197,0,0
600,6,2025-02,246,203,0,0
601,6,2025-03,244,206,0,0
602,6,2025-04,243,213,0,0
603,6,2025-05,243,215,0,0
604,6,2025-06,242,226,0,0
605,6,2025-07,241,230,0,0
606,6,2025-08,240,227,0,0
607,6,2025-09,240,231,0,0
608,6,2025-10,240,233,0,0
609,6,2025-11,240,230,0,0
610,6,2025-12,239,232,0,0
611,7,2025-09,142,0,0,0
612,7,2025-10,142,0,0,0
613,7,2025-11,256,0,0,0
614,7,2025-12,327,299,0,0
615,8,2025-08,146,0,0,0
616,8,2025-09,146,0,0,0
617,8,2025-10,146,0,0,0
618,8,2025-11,146,0,0,0
619,8,2025-12,147,119,0,0
620,9,2025-01,139,133,0,0
621,9,2025-02,139,134,0,0
622,9,2025-03,139,135,0,0
623,9,2025-04,139,133,0,0
624,9,2025-05,139,131,0,0
625,9,2025-06,139,133,0,0
626,9,2025-07,139,132,0,0
627,9,2025-08,139,131,0,0
628,9,2025-09,139,131,0,0
629,9,2025-10,139,129,0,0
630,9,2025-11,139,130,0,0
631,9,2025-12,139,131,0,0
632,10,2025-01,79,68,0,0
633,10,2025-02,79,70,0,0
634,10,2025-03,79,67,0,0
635,10,2025-04,79,68,0,0
636,10,2025-05,79,71,0,0
637,10,2025-06,79,74,0,0
638,10,2025-07,79,72,0,0
639,10,2025-08,79,74,0,0
640,10,2025-09,79,74,0,0
641,10,2025-10,79,74,0,0
642,10,2025-11,79,73,0,0
643,10,2025-12,79,74,0,0
644,11,2025-01,34,30,0,0
645,11,2025-02,34,34,0,0
646,11,2025-03,34,34,0,0
647,11,2025-04,34,34,0,0
648,11,2025-05,34,34,0,0
649,11,2025-06,34,34,0,0
650,11,2025-07,34,34,0,0
651,11,2025-08,34,34,0,0
652,11,2025-09,34,34,0,0
653,11,2025-10,34,34,0,0
654,11,2025-11,34,34,0,0
655,11,2025-12,34,34,0,0
656,12,2025-01,52,51,0,0
657,12,2025-02,52,51,0,0
658,12,2025-03,52,51,0,0
659,12,2025-04,52,51,0,0
660,12,2025-05,52,50,0,0
661,12,2025-06,52,51,0,0
662,12,2025-07,52,52,0,0
663,12,2025-08,52,52,0,0
664,12,2025-09,52,50,0,0
665,12,2025-10,52,52,0,0
666,12,2025-11,52,52,0,0
667,12,2025-12,52,52,0,0
3411,11,2026-08,34,31,0,0
3412,11,2026-01,34,33,0,0
3413,11,2026-02,34,33,0,0
3414,11,2026-03,34,34,0,0
3415,11,2026-04,34,34,0,0
3416,11,2026-05,34,32,0,0
3417,11,2026-06,34,32,0,0
3418,11,2026-07,34,32,0,0
3419,12,2026-08,52,50,0,0
3420,12,2026-01,52,50,0,0
3421,12,2026-02,52,49,0,0
3422,12,2026-03,52,50,0,0
3423,12,2026-04,52,50,0,0
3424,12,2026-05,52,49,0,0
3425,12,2026-06,52,50,0,0
3426,12,2026-07,52,50,0,0
3427,10,2026-08,79,71,0,0
3428,10,2026-01,79,76,0,0
3429,10,2026-02,79,73,0,0
3430,10,2026-03,79,74,0,0
3431,10,2026-04,79,73,0,0
3432,10,2026-05,79,73,0,0
3433,10,2026-06,79,72,0,0
3434,10,2026-07,79,71,0,0
3435,9,2026-08,139,134,0,0
3436,9,2026-01,139,131,0,0
3437,9,2026-02,139,132,0,0
3438,9,2026-03,139,133,0,0
3439,9,2026-04,139,133,0,0
3440,9,2026-05,138,132,0,0
3441,9,2026-06,138,132,0,0
3442,9,2026-07,139,135,0,0
3443,5,2026-08,72,67,0,0
3444,5,2026-01,82,10,0,0
3445,5,2026-02,82,12,0,0
3446,5,2026-03,82,29,0,0
3447,5,2026-04,81,37,0,0
3448,5,2026-05,77,49,0,0
3449,5,2026-06,72,57,0,0
3450,5,2026-07,72,66,0,0
3451,8,2026-08,147,137,0,0
3452,8,2026-01,147,119,0,0
3453,8,2026-02,150,121,0,0
3454,8,2026-03,147,118,0,0
3455,8,2026-04,147,117,0,0
3456,8,2026-05,147,121,0,0
3457,8,2026-06,147,132,0,0
3458,8,2026-07,147,136,0,0
3459,6,2026-08,238,232,0,0
3460,6,2026-01,239,233,0,0
3461,6,2026-02,239,231,0,0
3462,6,2026-03,239,234,0,0
3463,6,2026-04,239,232,0,0
3464,6,2026-05,239,238,0,0
3465,7,2026-08,328,299,0,0
3466,6,2026-06,239,233,0,0
3467,6,2026-07,238,233,0,0
3468,7,2026-01,333,297,0,0
3469,7,2026-02,331,303,0,0
3470,7,2026-03,329,307,0,0
3471,7,2026-04,329,309,0,0
3472,7,2026-05,329,310,0,0
3473,7,2026-06,329,307,0,0
3474,7,2026-07,328,299,0,0
